Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Meloni M.","36646461800;","Epigenetics for the social sciences: Justice, embodiment, and inheritance in the postgenomic age",2015,"New Genetics and Society","34","2",,"125","151",,42,"10.1080/14636778.2015.1034850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929245902&doi=10.1080%2f14636778.2015.1034850&partnerID=40&md5=537576b38913573a374a651ea3b747d0","In this paper, I firstly situate the current rise of interest in epigenetics in the broader history of attempts to go ""beyond the gene"" in twentieth-century biology. In the second part, after a summary of the main differences between epigenetic and genetic mutations, I consider what kind of implications the sui generis features of epigenetic mutations may have for the social sciences. I focus in particular on two sites of investigation: (a) the blurring of the boundaries between natural and social inequalities in theories of justice and their possible implications for public policy and public health and (b) a deepening of the notion that the constitution of the body is deeply dependent on its material and socially shaped surroundings (""embodied constructivism""). In conclusion, I advance some cautionary reflections on some of the (known and unprecedented) problems that the circulation of epigenetics in wider society may present. © 2015 Taylor & Francis.",Article,"Final","",Scopus,2-s2.0-84929245902
"Badás E.P., Martínez J., Rivero de Aguilar Cachafeiro J., Miranda F., Figuerola J., Merino S.","56041003400;7404313187;56598087400;55917107600;7004073252;56225311500;","Ageing and reproduction: Antioxidant supplementation alleviates telomere loss in wild birds",2015,"Journal of Evolutionary Biology","28","4",,"896","905",,46,"10.1111/jeb.12615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928008562&doi=10.1111%2fjeb.12615&partnerID=40&md5=e057c6626283c1dd7a8bd8d2e9736ab8","Reproduction is inherently costly. Environmental stressors, such as infection and limited food resources, can compromise investment at each breeding attempt. For example, recent data on captive birds showed that increased reproductive effort accelerates ageing. However, the effects of nutritional status and infection on ageing remain unknown. Telomeres function as protective caps at the ends of eukaryotic chromosomes, and changes in telomere length is a commonly used proxy for ageing. To partially address the mechanisms of ageing following reproduction, we supplemented, medicated or administered a combined treatment to wild blue tits (Cyanistes caeruleus) breeding in central Spain during 2012. The nutritional supplement consisted of two different antioxidants, whereas the medication was an antimalarial treatment against blood parasites. We evaluated the effect of these manipulations on reproductive success and parasite loads in the first breeding season, and on changes in telomere length between two consecutive breeding seasons. Supplemented birds showed no reduction in blood parasite infections in 2012, although they exhibited higher body mass and fledging success. The antimalarial drugs reduced infections by several parasite species, but this had no effect on fitness parameters. In the following season, telomeres from supplemented birds had shortened less. Altogether, we found that supplementation with antioxidants provided fitness benefits in the short term and reduced telomere loss a year following treatment. Our results provide indirect empirical support for accelerated telomere loss as a cost of reproduction. © 2015 European Society For Evolutionary Biology.",Article,"Final","",Scopus,2-s2.0-84928008562
"Koleva K.Z., Hellweger F.L.","56513998000;6602609479;","From protein damage to cell aging to population fitness in E. coli: Insights from a multi-level agent-based model",2015,"Ecological Modelling","301",,,"62","71",,7,"10.1016/j.ecolmodel.2015.01.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922592659&doi=10.1016%2fj.ecolmodel.2015.01.024&partnerID=40&md5=0cd33beb7935e6f558105aa3c29eec85","Aging is an important process affecting many organisms, including bacteria that appear to divide symmetrically. Recent research has established much of the mechanisms underlying aging in Escherichia coli, including the role of damaged protein aggregates (DPAs) that are transported by diffusion within the nucleoid-free intracellular space, which leads to their polar localization and asymmetric inheritance (i.e. aging). This provides an opportunity to develop a mechanistic model of E. coli and use it to assess the role of this process at the population level. Is there a fitness benefit to asymmetric inheritance of DPAs? Here we explore this question using a multi-level agent-based model, which simulates a population of individual cells, each with a population of individual DPAs. The model is compared to relevant data compiled from four published studies, which shows it reproduces the main patterns observed, including intracellular localization and inheritance of DPAs, their effect on growth rate, differences in growth rate between sibling pairs, under unstressed and heat shock conditions, for wild type and a mutant that partitions DPAs symmetrically. The model is used to estimate population growth rates of the wildtype and mutant, which shows a statistically significant benefit of aging by asymmetric DPA segregation. However, the benefit is very small and probably not relevant in the context of the ecology of the bacteria's primary habitat (the intestinal tract of warm-blooded animals). But, at an evolutionary time scale even this small benefit may be relevant for bacteria with large population sizes and short generation times. © 2015 Elsevier B.V.",Article,"Final","",Scopus,2-s2.0-84922592659
"Schroeder J., Nakagawa S., Rees M., Mannarelli M.-E., Burke T.","23987976900;57221776894;7201512419;24468349700;7201662030;","Reduced fitness in progeny from old parents in a natural population",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","13",,"4021","4025",,66,"10.1073/pnas.1422715112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021144477&doi=10.1073%2fpnas.1422715112&partnerID=40&md5=5f091e60975ed35ae3eec58919f0a3df","A nongenetic, transgenerational effect of parental age on offspring fitness has been described in many taxa in the laboratory. Such a transgenerational fitness effect will have important influences on population dynamics, population age structure, and the evolution of aging and lifespan. However, effects of parental age on offspring lifetime fitness have never been demonstrated in a natural population. We show that parental age has sex-specific negative effects on lifetime fitness, using data from a pedigreed insular population of wild house sparrows. Birds whose parents were older produced fewer recruits annually than birds with younger parents, and the reduced number of recruits translated into a lifetime fitness difference. Using a long-term cross-fostering experiment, we demonstrate that this parental age effect is unlikely to be the result of changes in the environment but that it potentially is epigenetically inherited. Our study reveals the hidden consequences of late-life reproduction that persist into the next generation.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85021144477
"Drobniak S.M., Dubiec A., Gustafsson L., Cichoń M.","36143938200;9243383500;35738955500;7003608374;","Maternal Age-Related Depletion of Offspring Genetic Variance in Immune Response to Phytohaemagglutinin in the Blue Tit (Cyanistes caeruleus)",2015,"Evolutionary Biology","42","1",,"88","98",,1,"10.1007/s11692-014-9301-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925543921&doi=10.1007%2fs11692-014-9301-8&partnerID=40&md5=8fe904e74e39292ed214fb070f63c3d3","Studies examining age-specific patterns in genetic variance have focussed primarily on changes in the genetic variance within cohorts. It remains unclear whether parental age may affect the genetic variance among offspring. To date, such an effect has been reported only in a single study performed in a wild bird population. Here, we provide experimental evidence that the additive genetic variance (VA) observed among offspring may be related to parental age in a wild passerine—the blue tit (Cyanistes caeruleus). To separate genetic and environmental components of phenotypic variance in nestling body size and immune function we cross-fostered nestlings between pairs of broods born to young and old mothers and used an animal model to estimate VA. We show that the genetic variance in immune response to phytohaemagglutinin (PHA) and body weight among offspring depends on maternal age. VA in response to PHA appeared to be lower among nestlings of older mothers. Such a tendency was not observed for tarsus length. We argue that the lower VA may result either from depletion of additive genetic variation due to selection acting on parents across age classes or from environmental effects confounded with parental age. Thus, our study suggests that parental age may significantly affect estimates of quantitative genetic parameters in the offspring. © 2014, The Author(s).",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84925543921
"Zabala J., Zuberogoitia I.","7003982004;6603409180;","Breeding performance and survival in the peregrine falcon Falco peregrinus support an age-related competence improvement hypothesis mediated via an age threshold",2015,"Journal of Avian Biology","46","2",,"141","150",,9,"10.1111/jav.00505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924535291&doi=10.1111%2fjav.00505&partnerID=40&md5=9d2a997ced21d4ee176d1a20f90a14b4","We studied the effects of age on breeding performance and survival probability in a peregrine falcon population, using data from a long term monitoring programme (carried out over 16 yr), in which we were able to identify individual birds. We compared the breeding performance and survival of yearling breeders, first-time adult breeders and adult breeders. We found significant differences in breeding performance but not in survival. Yearling breeders had lower breeding success than older individuals but the breeding performance of inexperienced adults did not differ from that of experienced adults. We did not find changes in terminal breeding success since peregrines in their last year of life sustained the performance levels shown in previous years although with increasing variability. We found no evidence that attempting to breed affected survival probability in any age group. We argue that differences in breeding performance are related to age, not to breeding experience, and that there is an age threshold, coincident with the development of adult plumage, after which breeding performance is not affected either by age or experience. Peregrines that start breeding as yearlings are likely to have greater lifetime reproductive success than birds entering the breeding pool as adults. Consequently, such birds may represent a set of high quality individuals. Our results support the age-related competence improvement hypothesis as being the relevant explanation for the increase in breeding performance with age. © 2014 The Authors.",Article,"Final","",Scopus,2-s2.0-84924535291
"Sorensen T.","7201363537;","Regional development in an age of accelerating complexity and uncertainty: Towards survival strategies for a sparsely settled continent",2015,"Local Economy","30","1",,"41","52",,6,"10.1177/0269094214564034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921030540&doi=10.1177%2f0269094214564034&partnerID=40&md5=49547775cea5a8ad581e7263df569da5","Australia’s rural and remote regions operate in a complex and uncertain environment. Global economies and markets are rapidly shifting; the arrival of the Second Machine Age is continually stretching the frontier of innovation and will destroy or modify many jobs over the next two decades or so; the tyranny of distance is contracting; natural resources appear to be more threatened and/or finite; while social structures become increasingly mobile, older and affluent. This combination of complexity and uncertainty bodes ill for sparsely settled rural regions, already constrained by narrow economic bases, the oscillations of seasonal conditions and unstable commodity prices and exchange rates. Their already fragile economies and societies, using Taleb’s terminology, are likely to become more so. Worse still, complexity and uncertainty, married with the enormous spatial heterogeneity and the fragmentation of government, militate against top-down public strategies designed to promote regional development. So is there any place for regional policy in the emerging world order? Taleb’s recent work on antifragility suggests ways forward, especially in the realm of regional self-help guided by a raft of community and business leaders focusing on creating innovative, creative, scientifically literate, highly networked, investment ready and risk accepting cultures. These, in return, require an effective flow of venture capital and mutual support systems. This article suggests the pathways to these outcomes and, in the process, flags research agendas designed to focus and accelerate the processes involved. © The Author(s) 2014 Reprints and permissions: sagepub.co.uk/journalsPermissions.nav.",Article,"Final","",Scopus,2-s2.0-84921030540
"Gol’din P., Gladilina E.","16024435800;56225563900;","Small dolphins in a small sea: Age, growth and life-history aspects of the black sea common bottlenose dolphin tursiops truncatus",2015,"Aquatic Biology","23","2",,"159","166",,10,"10.3354/ab00617","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922589153&doi=10.3354%2fab00617&partnerID=40&md5=299916f847d1d6333736167fc2266cc2","We provide first data on the life span, growth and seasonal aspects of the life history of Black Sea bottlenose dolphins Tursiops truncatus in the wild and compare these with historical data and conspecific populations in other geographical regions. Average life span is 20 to 32 yr; the oldest record is 41 yr. The reproductive season lasts at least from February to September or October and includes the coldest months of the year (February and March). Average adult body lengths are 240 ± 14 cm for females and 255 ± 10 cm for males. Rapid early body growth ceases by 3 to 4 yr. Two morphs, one large (offshore) and one small (coastal), possibly co-exist in the Black Sea. The larger morph may include winter-breeding migrants or immigrants from the Mediterranean Sea. The small coastal form is similar in body size and growth patterns to coastal populations in the eastern Mediterranean region and the Gulf of Mexico, but is characterized by early growth to maturity and small asymptotic body size. Small-sized dolphin populations in enclosed water bodies can be treated as an example of the ‘island rule’, and their dwarfism may hypothetically be explained as an effect of smaller prey size. © The authors 2015.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84922589153
"Preston B.T., Saint Jalme M., Hingrat Y., Lacroix F., Sorci G.","7102701437;55979606300;56155598000;15760393000;7004744908;","The sperm of aging male bustards retards their offspring's development",2015,"Nature Communications","6",,"6146","","",,37,"10.1038/ncomms7146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946919327&doi=10.1038%2fncomms7146&partnerID=40&md5=84979c468adaed460e1748b55d1d6bc4","Understanding whether the sperm of older males has a diminished capacity to produce successful offspring is a key challenge in evolutionary biology. We investigate this issue using 10 years of reproductive data on captive long-lived houbara bustards (Chlamydotis undulata), where the use of artificial insemination techniques means parents can only influence offspring quality via their gametes. Here we show that paternal aging reduces both the likelihood that eggs hatch and the rate at which chicks grow, with older males producing the lightest offspring after the first month. Surprisingly, this cost of paternal aging on offspring development is of a similar scale to that associated with maternal aging. Fitting with predictions on germline aging, the sperm of immature males produce the fastest growing offspring. Our findings thus indicate that any good genes benefit that might be offered by older 'proven' males will be eroded by aging of their germline DNA. © 2015 Macmillan Publishers Limited. All rights reserved.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84946919327
"Asghar M., Hasselquist D., Hansson B., Zehtindjiev P., Westerdahl H., Bensch S.","53463100300;7003573951;35740471800;14014403000;6603838190;7007032398;","Hidden costs of infection: Chronic malaria accelerates telomere degradation and senescence in wild birds",2015,"Science","347","6220",,"436","438",,284,"10.1126/science.1261121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921760769&doi=10.1126%2fscience.1261121&partnerID=40&md5=90a47e44180ad0d323bef0971a799de0","Recovery from infection is not always complete, and mild chronic infection may persist. Although the direct costs of such infections are apparently small, the potential for any long-term effects on Darwinian fitness is poorly understood. In a wild population of great reed warblers, we found that low-level chronic malaria infection reduced life span as well as the lifetime number and quality of offspring. These delayed fitness effects of malaria appear to be mediated by telomere degradation, a result supported by controlled infection experiments on birds in captivity. The results of this study imply that chronic infection may be causing a series of small adverse effects that accumulate and eventually impair phenotypic quality and Darwinian fitness. © 2015, American Association for the Advancement of Science. All rights reserved.",Article,"Final","",Scopus,2-s2.0-84921760769
"Guest I., Ilic Z., Scrable H., Sell S.","16636371100;7004116953;6603786162;56427635300;","Survival of irradiated recipient mice after transplantation of bone marrow from young, old and ""early aging"" mice",2015,"Aging","7","12",,"1212","1223",,4,"10.18632/aging.100867","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958162908&doi=10.18632%2faging.100867&partnerID=40&md5=b4c0aaf7cbb9ab702704bd90688da821","Bone marrow transplantation is used to examine survival, hematopoietic stem cell function and pathology in recipients of young and old wild type bone marrow derived stem cells (BMDSCs) as well as cells from p53-based models of premature aging. There is no difference in the long term survival of recipients of 8 week-old p53+/m donor cells compared to recipients of 8 week-old wild-type (WT) donor cells (70 weeks) or of recipients of 16-18 weeks-old donor cells from either p53+/m or WT mice. There is shorter survival in recipients of older versus younger WT donor bone marrow, but the difference is only significant when comparing 8 and 18 week-old donors. In the p44-based model, short term survival/engraftment is significantly reduced in recipients of 11 month-old p44 donor cells compared to 4 week-old p44 or wild type donor cells of either age; mid-life survival at 40 weeks is also significantly less in recipients of p44 cells. BMDSCs are readily detectable within recipient bone marrow, lymph node, intestinal villi and liver sinusoids, but not in epithelial derived cells. These results indicate that recipients of young BMDSCs may survive longer than recipients of old bone marrow, but the difference is marginal at best. © Guest et al.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84958162908
"Zimmerman S.M., Hinkson I.V., Elias J.E., Kim S.K.","55831397000;25936413000;7202670260;8073488900;","Reproductive Aging Drives Protein Accumulation in the Uterus and Limits Lifespan in C. elegans",2015,"PLoS Genetics","11","12","e1005725","","",31,10,"10.1371/journal.pgen.1005725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953232686&doi=10.1371%2fjournal.pgen.1005725&partnerID=40&md5=d6a53fd7ddfe1ea3121cfd5917074007","Aging in Caenorhabditis elegans is characterized by widespread physiological and molecular changes, but the mechanisms that determine the rate at which these changes occur are not well understood. In this study, we identify a novel link between reproductive aging and somatic aging in C. elegans. By measuring global age-related changes in the proteome, we identify a previously uncharacterized group of secreted proteins in the adult uterus that dramatically increase in abundance with age. This accumulation is blunted in animals with an extended reproductive period and accelerated in sterile animals lacking a germline. Uterine proteins are not removed in old post-reproductive animals or in young vulvaless worms, indicating that egg-laying is necessary for their rapid removal in wild-type young animals. Together, these results suggest that age-induced infertility contributes to extracellular protein accumulation in the uterus with age. Finally, we show that knocking down multiple age-increased proteins simultaneously extends lifespan. These results provide a mechanistic example of how the cessation of reproduction contributes to detrimental changes in the soma, and demonstrate how the timing of reproductive decline can influence the rate of aging. © 2015 Zimmerman et al.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84953232686
"Cheatham C.L., Lupu D.S., Niculescu M.D.","8620418700;41361511300;7003273454;","Genetic and epigenetic transgenerational implications related to omega-3 fatty acids. Part II: Maternal FADS2 rs174575 genotype and DNA methylation predict toddler cognitive performance",2015,"Nutrition Research","35","11",,"948","955",,16,"10.1016/j.nutres.2015.09.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952638942&doi=10.1016%2fj.nutres.2015.09.005&partnerID=40&md5=88497079cd8b5863b07cd9e9cba7a921","Maternal transfer of fatty acids is important to fetal brain development. The prenatal environment may differentially affect the substrates supporting declarative memory abilities, as the level of fatty acids transferred across the placenta may be affected by the maternal fatty acid desaturase 2 (FADS2) rs174575 single nucleotide polymorphism. In this study, we hypothesized that toddler and maternal rs174575 genotype and FADS2 promoter methylation would be related to the toddlers' declarative memory performance. Seventy-one 16-month-old toddlers participated in an imitation paradigm designed to test immediate and long-term declarative memory abilities. FADS2 rs174575 genotype was determined and FADS2 promoter methylation was quantified from blood by bisulfite pyrosequencing for the toddlers and their natural mothers. Toddlers of GG mothers at the FADS2 rs174575 single nucleotide polymorphism did not perform as well on memory assessments as toddlers of CC or CG mothers when controlling for plasma α-linolenic acid and child genotype. Toddler methylation status was related to immediate memory performance, whereas maternal methylation status was related to delayed memory performance. Thus, prenatal experience and maternal FADS2 status have a pervasive, long-lasting influence on the brain development of the offspring, but as the postnatal environment becomes more primary, the offsprings' own biology begins to have an effect. © 2015 Elsevier Inc..",Article,"Final","",Scopus,2-s2.0-84952638942
"Deibel S.H., Zelinski E.L., Keeley R.J., Kovalchuk O., McDonald R.J.","55206496100;22137236900;7003332437;7003878362;7401841196;","Epigenetic alterations in the suprachiasmatic nucleus and hippocampus contribute to age-related cognitive decline",2015,"Oncotarget","6","27",,"23181","23203",,23,"10.18632/oncotarget.4036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943393259&doi=10.18632%2foncotarget.4036&partnerID=40&md5=63f457aa7c53ecfbab516148a782d469","Circadian rhythm dysfunction and cognitive decline, specifically memory loss, frequently accompany natural aging. Circadian rhythms and memory are intertwined, as circadian rhythms influence memory formation and recall in young and old rodents. Although, the precise relationship between circadian rhythms and memory is still largely unknown, it is hypothesized that circadian rhythm disruption, which occurs during aging, contributes to age-associated cognitive decline, specifically memory loss. While there are a variety of mechanisms that could mediate this effect, changes in the epigenome that occur during aging has been proposed as a potential candidate. Interestingly, epigenetic mechanisms, such as DNA methylation and sirtuin1 (SIRT1) are necessary for both circadian rhythms and memory. During aging, similar alterations of epigenetic mechanisms occur in the suprachiasmatic nucleus (SCN) and hippocampus, which are necessary for circadian rhythm generation and memory, respectively. Recently, circadian rhythms have been linked to epigenetic function in the hippocampus, as some of these epigenetic mechanisms oscillate in the hippocampus and are disrupted by clock gene deletion. The current paper will review how circadian rhythms and memory change with age, and will suggest how epigenetic changes in these processes might contribute to age-related cognitive decline.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84943393259
"Migicovsky Z., Kovalchuk I.","55620991800;7003910093;","Transgenerational inheritance of epigenetic response to cold in Arabidopsis thaliana",2015,"Biocatalysis and Agricultural Biotechnology","4","1",,"1","10",,3,"10.1016/j.bcab.2014.09.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933530397&doi=10.1016%2fj.bcab.2014.09.001&partnerID=40&md5=571b47ae057a9655ba2217472d71910a","Exposure to stresses such as temperature fluctuations, drought and UV can cause physiological and epigenetic changes in plants. Such changes may be inherited by progeny of stressed plants and may alter their response to stress. To understand the ability of plants to inherit an epigenetic memory of exposure to cold stress and to analyze physiological manifestations of this memory, we propagated cold-stressed and control plants and compared their progeny under both normal and stress conditions. Our studies revealed that in the progeny of stressed plants, leaf number decreased and bolting occurred earlier. Transposons were also re-activated in the progeny of stressed plants. In addition to wild-type plants, we used the Dicer-like mutants dcl2, dcl3 and dcl4 because of the role of DCL2, 3 and 4 in siRNA biogenesis and their responses to stress. DCL2 and DCL3 appeared to be more important in the transgenerational stress memory than DCL4, and the changes observed in the progeny of dcl2 and dcl3 mutants were less profound or not evident at all. Thus, this work has expanded our previous study and has shown physiological changes in the progeny of cold-stressed plants, it also has confirmed an important role of DCL2 and DCL3 in passing on the memory of stress exposure to the progeny. © 2014 Elsevier Ltd.",Article,"Final","",Scopus,2-s2.0-84933530397
"Thompson C.K., Wayne A.F., Godfrey S.S., Thompson R.C.A.","55660709200;10043831200;14032881700;55482271400;","Survival, age estimation and sexual maturity of pouch young of the brush-tailed bettong (Bettongia penicillata) in captivity",2015,"Australian Mammalogy","37","1",,"29","38",,5,"10.1071/AM14025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924753873&doi=10.1071%2fAM14025&partnerID=40&md5=2419bfc683ab1aa3c75db6a322d793e2","The brush-tailed bettong or woylie (Bettongia penicillata) is a continuous and rapid breeder. However, research investigating the monthly survival and development of young woylies from parturition to parental independence is incomplete. The reproductive biology of eight female woylies was observed for 22 consecutive months within a purpose-built enclosure. Adult female woylies bred continuously and were observed caring for a dependant young 96% of the time. Pouch life of the young was ∼102 days, with sexual maturity of female offspring reached as early as 122 days post partum. Crown-rump measurement was an accurate predictor of age for young restricted to the pouch, while skeletal morphometrics were a better predictor of age for ejected pouch young, young-at-foot and subadults. A four-month period between May and August of each study year accounted for 85% of pouch young mortality and 61% of pouch young births where the neonate went on to survive to subadult age. Here we discuss the possibility that pouch young born during the cooler, wetter months of May to August may have an increased chance of survival in the wild, resulting from an increased maternal investment being directed towards the rearing of 'fitter' progeny.",Article,"Final","",Scopus,2-s2.0-84924753873
"Kervinen M., Lebigre C., Alatalo R.V., Siitari H., Soulsbury C.D.","55428778600;22135476700;7005374318;6603700761;16246028900;","Life-history differences in age-dependent expressions of multiple ornaments and behaviors in a lekking bird",2015,"American Naturalist","185","1",,"13","27",,21,"10.5061/dryad.rg8d4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920453709&doi=10.5061%2fdryad.rg8d4&partnerID=40&md5=2df8dd1bc5f18f0c045d8a766dc57789","Age is a major factor explaining variation in life-history traits among individuals with typical patterns of increasing trait values early in life, maximum trait expression, and senescence. However, age-dependent variation in the expressions of sexually selected traits has received less attention, although such variation underpins differences in male competitive abilities and female preference, which are central to sexual selection. In contrast to previous studies focusing on single traits, we used repeated measures of seven sexually selected morphological and behavioral traits in male black grouse (Tetrao tetrix) to quantify the effects of age and life span on their expressions and quantified this variation in relation to male reproductive effort. Trait expression increased with age, but long-lived males had a slower increase and delayed maxima in trait values compared with short- lived males. There was evidence of terminal investment (increasing trait values during the last breeding season) in some traits and senescence in all traits. These trait dynamics were largely explained by the timing of male peak lekking effort. This study shows that fully understanding the variation in sexually selected traits and fitness benefits associated with sexual selection requires accounting for the complex interaction among individual age, life span, and the timing of individuals’ investment in reproduction. © 2014 by The University of Chicago. All rights reserved.",Article,"Final","",Scopus,2-s2.0-84920453709
"Zhang H., Rebke M., Becker P.H., Bouwhuis S.","56283363400;36053510500;26643261800;13908369000;","Fitness prospects: Effects of age, sex and recruitment age on reproductive value in a long-lived seabird",2015,"Journal of Animal Ecology","84","1",,"199","207",,32,"10.1111/1365-2656.12259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919862270&doi=10.1111%2f1365-2656.12259&partnerID=40&md5=e574de89e586175c40cafa772897bde6","Summary: Reproductive value is an integrated measure of survival and reproduction fundamental to understanding life-history evolution and population dynamics, but little is known about intraspecific variation in reproductive value and factors explaining such variation, if any. By applying generalized additive mixed models to longitudinal individual-based data of the common tern Sterna hirundo, we estimated age-specific annual survival probability, breeding probability and reproductive performance, based on which we calculated age-specific reproductive values. We investigated effects of sex and recruitment age (RA) on each trait. We found age effects on all traits, with survival and breeding probability declining with age, while reproductive performance first improved with age before levelling off. We only found a very small, marginally significant, sex effect on survival probability, but evidence for decreasing age-specific breeding probability and reproductive performance with RA. As a result, males had slightly lower age-specific reproductive values than females, while birds of both sexes that recruited at the earliest ages of 2 and 3 years (i.e. 54% of the tern population) had somewhat higher fitness prospects than birds recruiting at later ages. While the RA effects on breeding probability and reproductive performance were statistically significant, these effects were not large enough to translate to significant effects on reproductive value. Age-specific reproductive values provided evidence for senescence, which came with fitness costs in a range of 17-21% for the sex-RA groups. Our study suggests that intraspecific variation in reproductive value may exist, but that, in the common tern, the differences are small. © 2014 British Ecological Society.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84919862270
"Patrick S.C., Weimerskirch H.","35316539200;56213156300;","Senescence rates and late adulthood reproductive success are strongly influenced by personality in a long-lived seabird",2014,"Proceedings of the Royal Society B: Biological Sciences","282","1799","20141649","","",7,21,"10.1098/rspb.2014.1649","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920982671&doi=10.1098%2frspb.2014.1649&partnerID=40&md5=3c06e8900be85a2c1a3f87345a3653e2","Studies are increasingly demonstrating that individuals differ in their rate of ageing, and this is postulated to emerge from a trade-off between current and future reproduction. Recent theory predicts a correlation between individual personality and life-history strategy, and from this comes the prediction that personality may predict the intensity of senescence. Here we show that boldness correlates with reproductive success and foraging behaviour in wandering albatrosses, with strong sex-specific differences. Shy males show a strong decline in reproductive performance with age, and bold females have lower reproductive success in later adulthood. In both sexes, bolder birds have longer foraging trips and gain more mass per trip as they get older. However, the benefit of this behaviour appears to differ between the sexes, such that it is only matched by high reproductive success in males. Together our results suggest that personality linked foraging adaptations with age are strongly sex-specific in their fitness benefits and that the impact of boldness on senescence is linked to ecological parameters. © 2014 The Author(s) Published by the Royal Society. All rights reserved.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84920982671
"Gamelon M., Focardi S., Gaillard J.-M., Gimenez O., Bonenfant C., Franzetti B., Choquet R., Ronchi F., Baubet E., Lemaître J.-F.","41961189600;7006573563;36047626100;7801578339;6602253903;24757981100;8974159800;57191966460;6506522689;56343228500;","Do age-specific survival patterns of wild boar fit current evolutionary theories of senescence?",2014,"Evolution","68","12",,"3636","3643",,27,"10.1111/evo.12519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914706128&doi=10.1111%2fevo.12519&partnerID=40&md5=fde62884f315e833fd48ac002e85a599","Actuarial senescence is widespread in age-structured populations. In growing populations, the progressive decline of Hamiltonian forces of selection with age leads to decreasing survival. As actuarial senescence is overcompensated by a high fertility, actuarial senescence should be more intense in species with high reproductive effort, a theoretical prediction that has not been yet explicitly tested across species. Wild boar (Sus scrofa) females have an unusual life-history strategy among large mammals by associating both early and high reproductive effort with potentially long lifespan. Therefore, wild boar females should show stronger actuarial senescence than similar-sized related mammals. Moreover, being polygynous and much larger than females, males should display higher senescence rates than females. Using a long-term monitoring (18 years) of a wild boar population, we tested these predictions. We provided clear evidence of actuarial senescence in both sexes. Wild boar females had earlier but not stronger actuarial senescence than similar-sized ungulates. Both sexes displayed similar senescence rates. Our study indicates that the timing of senescence, not the rate, is associated with the magnitude of fertility in ungulates. This demonstrates the importance of including the timing of senescence in addition to its rate to understand variation in senescence patterns in wild populations. © 2014 The Society for the Study of Evolution.",Article,"Final","",Scopus,2-s2.0-84914706128
